state,value,rank,poprank,rankdiff,group
Oklahoma,78,6,28,22,Top 10
New Mexico,51,16,37,21,Top 10
Colorado,74,7,21,14,Top 10
Louisiana,57,14,25,11,Top 10
Alaska,15,38,49,11,Top 10
Arizona,118,4,14,10,Top 10
West Virginia,27,30,40,10,Top 10
Missouri,64,10,18,8,Top 10
Nevada,42,24,32,8,Top 10
Alabama,50,17,24,7,Top 10
Rhode Island,2,51,45,-6,Bottom 10
Maryland,38,26,19,-7,Bottom 10
Minnesota,32,29,22,-7,Bottom 10
Iowa,12,40,31,-9,Bottom 10
Pennsylvania,51,15,5,-10,Bottom 10
New York,45,19,4,-15,Bottom 10
Connecticut,9,45,29,-16,Bottom 10
Michigan,37,27,10,-17,Bottom 10
New Jersey,35,28,11,-17,Bottom 10
Massachusetts,22,35,15,-20,Bottom 10
